"","HHID_panel","tempo","income2010","DSR2010","assets2010","DAR2010","income2016","DSR2016","assets2016","DAR2016","income2020","DSR2020","assets2020","DAR2020","cat_assets_b","cat_DAR_b","cat_DSR_b","cat_income_b","cat_assets_b","cat_DAR_b","cat_DSR_b","cat_income_b","clust"
"14","ELA15",2,185,0.30521137,367.5,1.0095239,322.0253,0.081255779,475.31647,1.3717177,38.913044,0.82842684,588.69562,1.4399632,"Inc","Sta","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","2"
"15","ELA16",1,101,0.66312671,213,1.0093896,153.79747,0.03075886,80.126579,1.58,72.554344,0.016104871,304.34784,0.030557144,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"16","ELA16",2,101,0.66312671,213,1.0093896,153.79747,0.03075886,80.126579,1.58,72.554344,0.016104871,304.34784,0.030557144,"Inc","Dec","Dec","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"17","ELA17",1,75,0,79,0.39240506,100.88607,0.011448508,412.15192,0.15334152,86.663048,0.071402363,557.93475,0.16059226,"Inc","Dec","Sta","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Sta","cat_income_b_Inc","2"
"18","ELA17",2,75,0,79,0.39240506,100.88607,0.011448508,412.15192,0.15334152,86.663048,0.071402363,557.93475,0.16059226,"Inc","Sta","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","2"
"19","ELA18",2,NA,NA,NA,NA,66.025314,0.12317869,97.40506,0.37677714,106.93478,0.23837975,91.195656,0.46054825,"Sta","Inc","Inc","Inc","cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"20","ELA19",1,50,0.092580006,113,0.053097345,63.79747,0.0014880953,365.6962,0.69483912,80.923912,0.19271168,241.19565,0.50747186,"Inc","Inc","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"21","ELA19",2,50,0.092580006,113,0.053097345,63.79747,0.0014880953,365.6962,0.69483912,80.923912,0.19271168,241.19565,0.50747186,"Dec","Dec","Inc","Inc","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","4"
"22","ELA2",1,172,0.26216859,260,0.32692307,289.3671,0.053404786,589.24048,0.93764776,168.20653,0.10353781,858.69568,0.50006074,"Inc","Inc","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"23","ELA2",2,172,0.26216859,260,0.32692307,289.3671,0.053404786,589.24048,0.93764776,168.20653,0.10353781,858.69568,0.50006074,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"24","ELA20",1,70.800003,0.18135883,202,0.33663365,33.544304,1.6133839,212.02531,0.68623888,7.9891305,6.4512157,265.32608,0.65730441,"Sta","Inc","Inc","Dec","cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"25","ELA20",2,70.800003,0.18135883,202,0.33663365,33.544304,1.6133839,212.02531,0.68623888,7.9891305,6.4512157,265.32608,0.65730441,"Inc","Sta","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","2"
"26","ELA21",1,62.5,0.174688,81,0.91975313,110.12658,0.25287166,263.35443,0.48299927,47.826088,0,185.16306,0.070208393,"Inc","Dec","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","4"
"27","ELA21",2,62.5,0.174688,81,0.91975313,110.12658,0.25287166,263.35443,0.48299927,47.826088,0,185.16306,0.070208393,"Dec","Dec","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"28","ELA22",1,74.599998,0.60115951,84,0.97023809,170.63292,0.036442999,158.79747,0.67759264,29.565218,2.8276784,436.63046,0.5537864,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"29","ELA22",2,74.599998,0.60115951,84,0.97023809,170.63292,0.036442999,158.79747,0.67759264,29.565218,2.8276784,436.63046,0.5537864,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"30","ELA23",1,49,0.16498598,105,0.5714286,44.683544,0.13290414,167.21519,0.46407264,51.847828,0,110.32609,1.4774384,"Inc","Dec","Dec","Sta","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Sta","3"
"31","ELA23",2,49,0.16498598,105,0.5714286,44.683544,0.13290414,167.21519,0.46407264,51.847828,0,110.32609,1.4774384,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"32","ELA24",1,65,0.19615385,406,0.39162558,108.22785,0.21431473,254.30379,0.44788951,21.997282,2.8222399,337.17392,0.76370084,"Dec","Inc","Sta","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Sta","cat_income_b_Inc","2"
"33","ELA24",2,65,0.19615385,406,0.39162558,108.22785,0.21431473,254.30379,0.44788951,21.997282,2.8222399,337.17392,0.76370084,"Inc","Inc","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"34","ELA25",2,NA,NA,NA,NA,37.341774,0.76570588,212.34177,0.4911893,38.152172,0.63482904,191.52173,0.43545973,"Sta","Dec","Dec","Sta","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Sta","3"
"35","ELA26",1,108,0.52108902,400,0.25749999,28.481012,1.4347652,243.41772,0.76740509,3.9130433,2.5411429,263.58694,0.29440001,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"36","ELA26",2,108,0.52108902,400,0.25749999,28.481012,1.4347652,243.41772,0.76740509,3.9130433,2.5411429,263.58694,0.29440001,"Sta","Dec","Inc","Dec","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"37","ELA27",1,145,0.10377242,182,0.0989011,104.00001,0.26339749,180.06329,0.48482955,1048.9169,0.0052227448,185.48912,1.2351129,"Sta","Inc","Inc","Dec","cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"38","ELA27",2,145,0.10377242,182,0.0989011,104.00001,0.26339749,180.06329,0.48482955,1048.9169,0.0052227448,185.48912,1.2351129,"Sta","Inc","Dec","Inc","cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"39","ELA28",2,NA,NA,NA,NA,129.62025,0.28782341,222.62659,1.2505245,14.347826,0,220.92392,0.98857558,"Sta","Dec","Dec","Dec","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"40","ELA29",2,NA,NA,NA,NA,64.936707,0.65608358,127.34177,2.9825246,92.717392,0,331.08698,0.21837161,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"41","ELA3",2,NA,NA,NA,NA,100.75949,0.11696628,266.74051,0.071230277,210.1087,0.12172056,546.95654,0.11408585,"Inc","Inc","Sta","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Sta","cat_income_b_Inc","2"
"42","ELA30",1,80,0.1415,195,0.37948719,45.34177,0.0063930769,394.17722,0.056319848,68.400002,0.57959712,444.34781,0.33464774,"Inc","Dec","Dec","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"43","ELA30",2,80,0.1415,195,0.37948719,45.34177,0.0063930769,394.17722,0.056319848,68.400002,0.57959712,444.34781,0.33464774,"Inc","Inc","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"44","ELA31",1,30,0.93408239,210.5,0.27553445,126.58228,0.12517153,11.898734,2.9246807,119.56522,0.030914739,255.70653,0.14039533,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"45","ELA31",2,30,0.93408239,210.5,0.27553445,126.58228,0.12517153,11.898734,2.9246807,119.56522,0.030914739,255.70653,0.14039533,"Inc","Dec","Dec","Sta","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Sta","3"
"46","ELA32",2,NA,NA,NA,NA,91.341774,1.3803053,361.70886,0.68231672,99.945648,1.5285786,940.1087,1.1936917,"Inc","Inc","Inc","Sta","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Sta","3"
"47","ELA33",1,79,0.11108861,182,0.32967034,82.987335,0.072499059,207.40508,1.2670857,57.608696,0.44751376,180,0.53666663,"Inc","Inc","Dec","Sta","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Sta","3"
"48","ELA33",2,79,0.11108861,182,0.32967034,82.987335,0.072499059,207.40508,1.2670857,57.608696,0.44751376,180,0.53666663,"Dec","Dec","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"49","ELA34",2,NA,NA,NA,NA,22.025316,0.10344828,142.72151,0.44352108,109.04891,0,453.15216,0.47952989,"Inc","Sta","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Dec","cat_income_b_Inc","2"
"50","ELA35",1,105,0.11203756,223.5,0.10290828,6.835443,0.74725181,180.25316,0.69957167,43.130436,0.49533737,196.25,0.30420384,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"51","ELA35",2,105,0.11203756,223.5,0.10290828,6.835443,0.74725181,180.25316,0.69957167,43.130436,0.49533737,196.25,0.30420384,"Sta","Dec","Dec","Inc","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"52","ELA36",1,63,0.15349206,184,0.22282609,93.670883,0.14520805,28.607595,4.0269027,156.09131,0.077631973,250.38045,0.22326025,"Dec","Inc","Sta","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Sta","cat_income_b_Inc","2"
"53","ELA36",2,63,0.15349206,184,0.22282609,93.670883,0.14520805,28.607595,4.0269027,156.09131,0.077631973,250.38045,0.22326025,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"54","ELA37",1,66,0.10998484,280,0.039285716,34.810127,0.52172673,58.987339,1.0731117,52.29348,0.21192375,72.065224,0.54395169,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"55","ELA37",2,66,0.10998484,280,0.039285716,34.810127,0.52172673,58.987339,1.0731117,52.29348,0.21192375,72.065224,0.54395169,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"56","ELA38",1,71,0.26056337,233,0.66523606,46.848099,0.05674142,120.82278,0.20443165,154.07608,0.074324675,209.89131,0.44118074,"Dec","Dec","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"57","ELA38",2,71,0.26056337,233,0.66523606,46.848099,0.05674142,120.82278,0.20443165,154.07608,0.074324675,209.89131,0.44118074,"Inc","Inc","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"58","ELA39",1,167,0.015239523,174,0.27873564,162.78482,0.33582392,873.98737,0.49977839,12.472827,2.8490787,319.45651,0.30802315,"Inc","Inc","Inc","Sta","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Sta","3"
"59","ELA39",2,167,0.015239523,174,0.27873564,162.78482,0.33582392,873.98737,0.49977839,12.472827,2.8490787,319.45651,0.30802315,"Dec","Dec","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"60","ELA4",1,95,0.4294737,254.5,0.14931238,177.8481,0.030680768,81.012657,1.0936563,165.76086,0.085501373,228.80435,0.67656058,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"61","ELA4",2,95,0.4294737,254.5,0.14931238,177.8481,0.030680768,81.012657,1.0936563,165.76086,0.085501373,228.80435,0.67656058,"Inc","Dec","Inc","Sta","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Sta","3"
"62","ELA40",1,81.599998,0.15644608,404.5,0.29913473,17.468355,3.8120818,305.06329,0.8437593,95.86956,0.21382943,169.72826,1.264374,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"63","ELA40",2,81.599998,0.15644608,404.5,0.29913473,17.468355,3.8120818,305.06329,0.8437593,95.86956,0.21382943,169.72826,1.264374,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"64","ELA41",1,103,1.6171299,255,1.2745098,17.990505,0.46284321,241.77216,0.33254451,26.141304,1.1468736,223.04347,0.48645225,"Sta","Dec","Dec","Dec","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"65","ELA41",2,103,1.6171299,255,1.2745098,17.990505,0.46284321,241.77216,0.33254451,26.141304,1.1468736,223.04347,0.48645225,"Sta","Inc","Inc","Inc","cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"66","ELA42",1,51,0.59421569,273.5,0.17915905,32.278481,0.89368039,181.96202,1.3013705,87.228264,0.56729668,624.34784,0.27164346,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"67","ELA42",2,51,0.59421569,273.5,0.17915905,32.278481,0.89368039,181.96202,1.3013705,87.228264,0.56729668,624.34784,0.27164346,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"68","ELA43",1,79,0.4101266,177,0.6214689,86.48101,0.54849529,786.20251,0.62223154,116.00543,0.13492621,1142.6086,0.25695589,"Inc","Sta","Inc","Sta","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Sta","3"
"69","ELA43",2,79,0.4101266,177,0.6214689,86.48101,0.54849529,786.20251,0.62223154,116.00543,0.13492621,1142.6086,0.25695589,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"70","ELA44",1,23,1.2563044,315.5,0.20602219,83.544304,0.037878789,13.670886,0.92898148,64.130432,0.08966051,316.68478,0.13041359,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"71","ELA44",2,23,1.2563044,315.5,0.20602219,83.544304,0.037878789,13.670886,0.92898148,64.130432,0.08966051,316.68478,0.13041359,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"72","ELA45",1,69,0.13295397,164,0.26707315,41.772152,0.68355644,219.68355,0.42970902,57.717388,0.70650172,300.21741,0.48231715,"Inc","Inc","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"73","ELA45",2,69,0.13295397,164,0.26707315,41.772152,0.68355644,219.68355,0.42970902,57.717388,0.70650172,300.21741,0.48231715,"Inc","Inc","Sta","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Sta","cat_income_b_Inc","2"
"74","ELA47",2,NA,NA,NA,NA,59.524048,0.13621211,137.59494,1.2885648,7.0652175,42.513439,292.66306,1.3831606,"Inc","Sta","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Dec","2"
"75","ELA48",2,NA,NA,NA,NA,129.62025,0.040904112,216.99367,1.3562608,166.46739,0.12449826,487.5,0.36779487,"Inc","Dec","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","4"
"76","ELA49",1,68,0.31470776,193,0.36269429,97.468353,0.085478343,7.7848101,4.4702439,141.19565,0.054226387,160.70653,0.21281029,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"77","ELA49",2,68,0.31470776,193,0.36269429,97.468353,0.085478343,7.7848101,4.4702439,141.19565,0.054226387,160.70653,0.21281029,"Inc","Dec","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"78","ELA5",1,133.2,0.50287986,391.5,0.99616849,135.44302,0.26146245,33.734177,3.2430019,44.565216,0.11025603,319.07608,0.12786919,"Dec","Inc","Dec","Sta","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Sta","3"
"79","ELA5",2,133.2,0.50287986,391.5,0.99616849,135.44302,0.26146245,33.734177,3.2430019,44.565216,0.11025603,319.07608,0.12786919,"Inc","Dec","Dec","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"80","ELA50",1,118,0.030762713,141,0.30496454,63.164558,0.12738162,272.65823,0.14413649,294.42935,0.069972061,424.07608,0.21623477,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"81","ELA50",2,118,0.030762713,141,0.30496454,63.164558,0.12738162,272.65823,0.14413649,294.42935,0.069972061,424.07608,0.21623477,"Inc","Inc","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"82","ELA51",2,NA,NA,NA,NA,104.05063,0.13106619,286.70886,0.20334215,253.30434,0.0073673669,288.20651,0.092988871,"Sta","Dec","Dec","Inc","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Inc","1"
"83","ELA52",1,68,0.52360368,203,0.2955665,116.4557,0.22738171,32.34177,1.3109982,38.04348,0.30227742,211.25,0.17278107,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"84","ELA52",2,68,0.52360368,203,0.2955665,116.4557,0.22738171,32.34177,1.3109982,38.04348,0.30227742,211.25,0.17278107,"Inc","Dec","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"85","ELA6",1,88,0.0068181823,132,0.31818181,14.303798,0.81186175,141.01266,0.16381508,15.48913,3.9421368,235.32608,0.40412009,"Sta","Dec","Inc","Dec","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Dec","4"
"86","ELA6",2,88,0.0068181823,132,0.31818181,14.303798,0.81186175,141.01266,0.16381508,15.48913,3.9421368,235.32608,0.40412009,"Inc","Inc","Inc","Sta","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Sta","3"
"87","ELA7",1,92,0.078043476,127,0.18110237,56.962025,0.042256065,106.96203,0.57964498,65.434784,0.11088188,147.82608,0.6162647,"Dec","Inc","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Dec","4"
"88","ELA7",2,92,0.078043476,127,0.18110237,56.962025,0.042256065,106.96203,0.57964498,65.434784,0.11088188,147.82608,0.6162647,"Inc","Sta","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Sta","cat_DSR_b_Inc","cat_income_b_Inc","2"
"89","ELA8",1,75,0.2648381,261.5,0.095602296,8.7341776,2.670646,102.78481,0.56720448,14.086957,3.1407936,173.15218,0.66531068,"Dec","Inc","Inc","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"90","ELA8",2,75,0.2648381,261.5,0.095602296,8.7341776,2.670646,102.78481,0.56720448,14.086957,3.1407936,173.15218,0.66531068,"Inc","Inc","Inc","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Inc","4"
"91","ELA9",1,130,0.01726923,111,0.37837836,25.822784,0.38560686,139.74684,0.48945653,33.913044,1.8997922,146.73914,0.29303703,"Inc","Inc","Inc","Dec","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Inc","cat_income_b_Dec","4"
"92","ELA9",2,130,0.01726923,111,0.37837836,25.822784,0.38560686,139.74684,0.48945653,33.913044,1.8997922,146.73914,0.29303703,"Sta","Dec","Inc","Inc","cat_assets_b_Sta","cat_DAR_b_Dec","cat_DSR_b_Inc","cat_income_b_Inc","4"
"93","GOV1",2,NA,NA,NA,NA,167.08861,0.29574364,343.35443,0.70976222,97.010872,0.028011203,305.43478,0.010476869,"Dec","Dec","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Dec","4"
"94","GOV11",1,36.5,0.90193063,177,0.33898309,114.24051,0.34489572,899.55701,0.51914442,248.96739,0.022076037,168.4239,0.88645381,"Inc","Inc","Dec","Inc","cat_assets_b_Inc","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"95","GOV11",2,36.5,0.90193063,177,0.33898309,114.24051,0.34489572,899.55701,0.51914442,248.96739,0.022076037,168.4239,0.88645381,"Dec","Inc","Dec","Inc","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
"96","GOV12",2,NA,NA,NA,NA,54.886078,0.73816282,443.6709,0.45619401,50.869564,0.058760688,235.59782,0.12606229,"Dec","Dec","Dec","Sta","cat_assets_b_Dec","cat_DAR_b_Dec","cat_DSR_b_Dec","cat_income_b_Sta","3"
"97","GOV13",1,80,0.74000001,730.5,0.19575635,59.493671,0.24562591,98.101265,0.58001292,195.65218,0.14891881,103.80434,1.7012776,"Dec","Inc","Dec","Dec","cat_assets_b_Dec","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Dec","4"
"98","GOV13",2,80,0.74000001,730.5,0.19575635,59.493671,0.24562591,98.101265,0.58001292,195.65218,0.14891881,103.80434,1.7012776,"Sta","Inc","Dec","Inc","cat_assets_b_Sta","cat_DAR_b_Inc","cat_DSR_b_Dec","cat_income_b_Inc","1"
