HHID_panel,tempo,income2010,DSR2010,assets2010,DAR2010,income2016,DSR2016,assets2016,DAR2016,income2020,DSR2020,assets2020,DAR2020,cat_assets_b,cat_DAR_b,cat_DSR_b,cat_income_b
ELA26,1,108,.52108902,400,.25749999,28.481012,1.4347652,243.41772,.76740509,3.9130433,2.5411429,263.58694,.29440001,Dec,Inc,Inc,Dec
ELA26,2,108,.52108902,400,.25749999,28.481012,1.4347652,243.41772,.76740509,3.9130433,2.5411429,263.58694,.29440001,Sta,Dec,Inc,Dec
ELA27,1,145,.10377242,182,.0989011,104.00001,.26339749,180.06329,.48482955,1048.9169,.0052227448,185.48912,1.2351129,Sta,Inc,Inc,Dec
ELA27,2,145,.10377242,182,.0989011,104.00001,.26339749,180.06329,.48482955,1048.9169,.0052227448,185.48912,1.2351129,Sta,Inc,Dec,Inc
ELA28,2,,,,,129.62025,.28782341,222.62659,1.2505245,14.347826,0,220.92392,.98857558,Sta,Dec,Dec,Dec
ELA29,2,,,,,64.936707,.65608358,127.34177,2.9825246,92.717392,0,331.08698,.21837161,Inc,Dec,Dec,Inc
ELA3,2,,,,,100.75949,.11696628,266.74051,.071230277,210.1087,.12172056,546.95654,.11408585,Inc,Inc,Sta,Inc
ELA30,1,80,.1415,195,.37948719,45.34177,.0063930769,394.17722,.056319848,68.400002,.57959712,444.34781,.33464774,Inc,Dec,Dec,Dec
ELA30,2,80,.1415,195,.37948719,45.34177,.0063930769,394.17722,.056319848,68.400002,.57959712,444.34781,.33464774,Inc,Inc,Inc,Inc
ELA31,1,30,.93408239,210.5,.27553445,126.58228,.12517153,11.898734,2.9246807,119.56522,.030914739,255.70653,.14039533,Dec,Inc,Dec,Inc
ELA31,2,30,.93408239,210.5,.27553445,126.58228,.12517153,11.898734,2.9246807,119.56522,.030914739,255.70653,.14039533,Inc,Dec,Dec,Sta
ELA32,2,,,,,91.341774,1.3803053,361.70886,.68231672,99.945648,1.5285786,940.1087,1.1936917,Inc,Inc,Inc,Sta
ELA33,1,79,.11108861,182,.32967034,82.987335,.072499059,207.40508,1.2670857,57.608696,.44751376,180,.53666663,Inc,Inc,Dec,Sta
ELA33,2,79,.11108861,182,.32967034,82.987335,.072499059,207.40508,1.2670857,57.608696,.44751376,180,.53666663,Dec,Dec,Inc,Dec
ELA34,2,,,,,22.025316,.10344828,142.72151,.44352108,109.04891,0,453.15216,.47952989,Inc,Sta,Dec,Inc
ELA35,1,105,.11203756,223.5,.10290828,6.835443,.74725181,180.25316,.69957167,43.130436,.49533737,196.25,.30420384,Dec,Inc,Inc,Dec
ELA35,2,105,.11203756,223.5,.10290828,6.835443,.74725181,180.25316,.69957167,43.130436,.49533737,196.25,.30420384,Sta,Dec,Dec,Inc
ELA36,1,63,.15349206,184,.22282609,93.670883,.14520805,28.607595,4.0269027,156.09131,.077631973,250.38045,.22326025,Dec,Inc,Sta,Inc
ELA36,2,63,.15349206,184,.22282609,93.670883,.14520805,28.607595,4.0269027,156.09131,.077631973,250.38045,.22326025,Inc,Dec,Dec,Inc
ELA37,1,66,.10998484,280,.039285716,34.810127,.52172673,58.987339,1.0731117,52.29348,.21192375,72.065224,.54395169,Dec,Inc,Inc,Dec
ELA37,2,66,.10998484,280,.039285716,34.810127,.52172673,58.987339,1.0731117,52.29348,.21192375,72.065224,.54395169,Inc,Dec,Dec,Inc
ELA38,1,71,.26056337,233,.66523606,46.848099,.05674142,120.82278,.20443165,154.07608,.074324675,209.89131,.44118074,Dec,Dec,Dec,Dec
ELA38,2,71,.26056337,233,.66523606,46.848099,.05674142,120.82278,.20443165,154.07608,.074324675,209.89131,.44118074,Inc,Inc,Inc,Inc
ELA39,1,167,.015239523,174,.27873564,162.78482,.33582392,873.98737,.49977839,12.472827,2.8490787,319.45651,.30802315,Inc,Inc,Inc,Sta
ELA39,2,167,.015239523,174,.27873564,162.78482,.33582392,873.98737,.49977839,12.472827,2.8490787,319.45651,.30802315,Dec,Dec,Inc,Dec
ELA4,1,95,.4294737,254.5,.14931238,177.8481,.030680768,81.012657,1.0936563,165.76086,.085501373,228.80435,.67656058,Dec,Inc,Dec,Inc
ELA4,2,95,.4294737,254.5,.14931238,177.8481,.030680768,81.012657,1.0936563,165.76086,.085501373,228.80435,.67656058,Inc,Dec,Inc,Sta
ELA40,1,81.599998,.15644608,404.5,.29913473,17.468355,3.8120818,305.06329,.8437593,95.86956,.21382943,169.72826,1.264374,Dec,Inc,Inc,Dec
ELA40,2,81.599998,.15644608,404.5,.29913473,17.468355,3.8120818,305.06329,.8437593,95.86956,.21382943,169.72826,1.264374,Dec,Inc,Dec,Inc
ELA41,1,103,1.6171299,255,1.2745098,17.990505,.46284321,241.77216,.33254451,26.141304,1.1468736,223.04347,.48645225,Sta,Dec,Dec,Dec
ELA41,2,103,1.6171299,255,1.2745098,17.990505,.46284321,241.77216,.33254451,26.141304,1.1468736,223.04347,.48645225,Sta,Inc,Inc,Inc
ELA42,1,51,.59421569,273.5,.17915905,32.278481,.89368039,181.96202,1.3013705,87.228264,.56729668,624.34784,.27164346,Dec,Inc,Inc,Dec
ELA42,2,51,.59421569,273.5,.17915905,32.278481,.89368039,181.96202,1.3013705,87.228264,.56729668,624.34784,.27164346,Inc,Dec,Dec,Inc
ELA43,1,79,.4101266,177,.6214689,86.48101,.54849529,786.20251,.62223154,116.00543,.13492621,1142.6086,.25695589,Inc,Sta,Inc,Sta
ELA43,2,79,.4101266,177,.6214689,86.48101,.54849529,786.20251,.62223154,116.00543,.13492621,1142.6086,.25695589,Inc,Dec,Dec,Inc
ELA44,1,23,1.2563044,315.5,.20602219,83.544304,.037878789,13.670886,.92898148,64.130432,.08966051,316.68478,.13041359,Dec,Inc,Dec,Inc
ELA44,2,23,1.2563044,315.5,.20602219,83.544304,.037878789,13.670886,.92898148,64.130432,.08966051,316.68478,.13041359,Inc,Dec,Inc,Dec
ELA45,1,69,.13295397,164,.26707315,41.772152,.68355644,219.68355,.42970902,57.717388,.70650172,300.21741,.48231715,Inc,Inc,Inc,Dec
ELA45,2,69,.13295397,164,.26707315,41.772152,.68355644,219.68355,.42970902,57.717388,.70650172,300.21741,.48231715,Inc,Inc,Sta,Inc
ELA47,2,,,,,59.524048,.13621211,137.59494,1.2885648,7.0652175,42.513439,292.66306,1.3831606,Inc,Sta,Inc,Dec
ELA48,2,,,,,129.62025,.040904112,216.99367,1.3562608,166.46739,.12449826,487.5,.36779487,Inc,Dec,Inc,Inc
ELA49,1,68,.31470776,193,.36269429,97.468353,.085478343,7.7848101,4.4702439,141.19565,.054226387,160.70653,.21281029,Dec,Inc,Dec,Inc
ELA49,2,68,.31470776,193,.36269429,97.468353,.085478343,7.7848101,4.4702439,141.19565,.054226387,160.70653,.21281029,Inc,Dec,Dec,Inc
ELA5,1,133.2,.50287986,391.5,.99616849,135.44302,.26146245,33.734177,3.2430019,44.565216,.11025603,319.07608,.12786919,Dec,Inc,Dec,Sta
ELA5,2,133.2,.50287986,391.5,.99616849,135.44302,.26146245,33.734177,3.2430019,44.565216,.11025603,319.07608,.12786919,Inc,Dec,Dec,Dec
ELA50,1,118,.030762713,141,.30496454,63.164558,.12738162,272.65823,.14413649,294.42935,.069972061,424.07608,.21623477,Inc,Dec,Inc,Dec
ELA50,2,118,.030762713,141,.30496454,63.164558,.12738162,272.65823,.14413649,294.42935,.069972061,424.07608,.21623477,Inc,Inc,Dec,Inc
ELA51,2,,,,,104.05063,.13106619,286.70886,.20334215,253.30434,.0073673669,288.20651,.092988871,Sta,Dec,Dec,Inc
ELA52,1,68,.52360368,203,.2955665,116.4557,.22738171,32.34177,1.3109982,38.04348,.30227742,211.25,.17278107,Dec,Inc,Dec,Inc
ELA52,2,68,.52360368,203,.2955665,116.4557,.22738171,32.34177,1.3109982,38.04348,.30227742,211.25,.17278107,Inc,Dec,Inc,Dec
ELA6,1,88,.0068181823,132,.31818181,14.303798,.81186175,141.01266,.16381508,15.48913,3.9421368,235.32608,.40412009,Sta,Dec,Inc,Dec
ELA6,2,88,.0068181823,132,.31818181,14.303798,.81186175,141.01266,.16381508,15.48913,3.9421368,235.32608,.40412009,Inc,Inc,Inc,Sta
ELA7,1,92,.078043476,127,.18110237,56.962025,.042256065,106.96203,.57964498,65.434784,.11088188,147.82608,.6162647,Dec,Inc,Dec,Dec
ELA7,2,92,.078043476,127,.18110237,56.962025,.042256065,106.96203,.57964498,65.434784,.11088188,147.82608,.6162647,Inc,Sta,Inc,Inc
ELA8,1,75,.2648381,261.5,.095602296,8.7341776,2.670646,102.78481,.56720448,14.086957,3.1407936,173.15218,.66531068,Dec,Inc,Inc,Dec
ELA8,2,75,.2648381,261.5,.095602296,8.7341776,2.670646,102.78481,.56720448,14.086957,3.1407936,173.15218,.66531068,Inc,Inc,Inc,Inc
ELA9,1,130,.01726923,111,.37837836,25.822784,.38560686,139.74684,.48945653,33.913044,1.8997922,146.73914,.29303703,Inc,Inc,Inc,Dec
ELA9,2,130,.01726923,111,.37837836,25.822784,.38560686,139.74684,.48945653,33.913044,1.8997922,146.73914,.29303703,Sta,Dec,Inc,Inc
GOV1,2,,,,,167.08861,.29574364,343.35443,.70976222,97.010872,.028011203,305.43478,.010476869,Dec,Dec,Dec,Dec
GOV11,1,36.5,.90193063,177,.33898309,114.24051,.34489572,899.55701,.51914442,248.96739,.022076037,168.4239,.88645381,Inc,Inc,Dec,Inc
GOV11,2,36.5,.90193063,177,.33898309,114.24051,.34489572,899.55701,.51914442,248.96739,.022076037,168.4239,.88645381,Dec,Inc,Dec,Inc
GOV12,2,,,,,54.886078,.73816282,443.6709,.45619401,50.869564,.058760688,235.59782,.12606229,Dec,Dec,Dec,Sta
GOV13,1,80,.74000001,730.5,.19575635,59.493671,.24562591,98.101265,.58001292,195.65218,.14891881,103.80434,1.7012776,Dec,Inc,Dec,Dec
GOV13,2,80,.74000001,730.5,.19575635,59.493671,.24562591,98.101265,.58001292,195.65218,.14891881,103.80434,1.7012776,Sta,Inc,Dec,Inc
GOV14,1,118,.21110192,171,.5847953,211.77216,.057146057,757.40503,1.1773094,27.065216,.010040161,86.304352,.28040302,Inc,Inc,Dec,Inc
GOV14,2,118,.21110192,171,.5847953,211.77216,.057146057,757.40503,1.1773094,27.065216,.010040161,86.304352,.28040302,Dec,Dec,Dec,Dec
GOV15,2,,,,,43.51899,0,377.84811,.4184221,7.2826085,0,403.80435,0,Sta,Dec,Sta,Dec
GOV16,2,,,,,193.67088,.13425499,363.16455,.69692922,142.04347,.10640889,603.26526,.32887688,Inc,Dec,Dec,Dec
GOV17,1,170,1.5009904,696.5,.63603735,85.443039,.24787582,47.531643,1.9187218,135.86957,.030851388,266.08698,.091323517,Dec,Inc,Dec,Dec
GOV17,2,170,1.5009904,696.5,.63603735,85.443039,.24787582,47.531643,1.9187218,135.86957,.030851388,266.08698,.091323517,Inc,Dec,Dec,Inc
GOV18,1,115,.087304346,349.5,.3004292,107.72151,.023440676,485.18985,.58719283,30.48913,.1347174,209.23914,.13095064,Inc,Inc,Dec,Sta
GOV18,2,115,.087304346,349.5,.3004292,107.72151,.023440676,485.18985,.58719283,30.48913,.1347174,209.23914,.13095064,Dec,Dec,Inc,Dec
GOV19,1,53,.21397169,281,.12633452,75.949364,.090000004,12.784811,4.2081184,35.869564,.83632052,222.82608,.92673171,Dec,Inc,Dec,Inc
GOV19,2,53,.21397169,281,.12633452,75.949364,.090000004,12.784811,4.2081184,35.869564,.83632052,222.82608,.92673171,Inc,Dec,Inc,Dec
GOV2,1,100,.5543257,691.5,.24584237,60.759495,.33958331,95.000008,.73157889,54.347828,0,154.75543,.12277436,Dec,Inc,Dec,Dec
GOV2,2,100,.5543257,691.5,.24584237,60.759495,.33958331,95.000008,.73157889,54.347828,0,154.75543,.12277436,Inc,Dec,Dec,Dec
GOV20,1,169,.098535992,243.5,.14373717,72.911392,1.7904361,72.151901,3.0269473,195.65218,.013375843,158.91304,.3423256,Dec,Inc,Inc,Dec
GOV20,2,169,.098535992,243.5,.14373717,72.911392,1.7904361,72.151901,3.0269473,195.65218,.013375843,158.91304,.3423256,Inc,Dec,Dec,Inc
GOV21,1,65,.13989231,259.5,.073217727,85.443039,.27555555,92.088608,.77642614,49.782608,.29263523,153.26086,1.4184966,Dec,Inc,Inc,Inc
GOV21,2,65,.13989231,259.5,.073217727,85.443039,.27555555,92.088608,.77642614,49.782608,.29263523,153.26086,1.4184966,Inc,Inc,Sta,Dec
GOV22,1,80,.34035611,394.5,.15209125,189.11392,.53964192,1244.3038,.21457782,218.36955,0,75,0,Inc,Inc,Inc,Inc
GOV22,2,80,.34035611,394.5,.15209125,189.11392,.53964192,1244.3038,.21457782,218.36955,0,75,0,Dec,Dec,Dec,Inc
GOV23,1,105,.01395238,73.5,.47619048,100.50633,.0093768025,1027.2152,.012363524,264.61957,.011444894,263.96741,.090162642,Inc,Dec,Dec,Sta
GOV23,2,105,.01395238,73.5,.47619048,100.50633,.0093768025,1027.2152,.012363524,264.61957,.011444894,263.96741,.090162642,Dec,Inc,Inc,Inc
GOV24,2,,,,,138.22784,.45795697,264.24051,.35914248,17.391304,0,418.47827,.14265974,Inc,Dec,Dec,Dec
GOV25,1,35,.63045716,185,.60540539,43.417721,.943156,164.24051,.65513682,29.347826,1.7346091,69.021736,.74034655,Dec,Sta,Inc,Inc
GOV25,2,35,.63045716,185,.60540539,43.417721,.943156,164.24051,.65513682,29.347826,1.7346091,69.021736,.74034655,Dec,Inc,Inc,Dec
GOV26,1,90,.15000001,616.5,.081102997,1.2658228,11.384517,339.49368,.32224455,.97826082,1.0430956,337.33698,.10493957,Dec,Inc,Inc,Dec
GOV26,2,90,.15000001,616.5,.081102997,1.2658228,11.384517,339.49368,.32224455,.97826082,1.0430956,337.33698,.10493957,Sta,Dec,Dec,Dec
GOV27,2,,,,,61.898735,.42332667,204.49367,.92814612,33.586956,0,143.69565,.60544634,Dec,Dec,Dec,Dec
GOV28,1,88,.35295451,302,.20860928,285.12659,.071008705,590.75952,.41218126,239.34782,.016785661,167.93478,.49066666,Inc,Inc,Dec,Inc
GOV28,2,88,.35295451,302,.20860928,285.12659,.071008705,590.75952,.41218126,239.34782,.016785661,167.93478,.49066666,Dec,Inc,Dec,Dec
GOV29,1,55,.6956743,593.5,.4043808,189.87341,0,779.74683,0,22.391304,0,449.45651,.14506409,Inc,Dec,Dec,Inc
GOV29,2,55,.6956743,593.5,.4043808,189.87341,0,779.74683,0,22.391304,0,449.45651,.14506409,Dec,Sta,Sta,Dec
GOV3,1,32,.53281248,235,.19148937,199.3671,.028571429,449.3671,.33803096,198.91304,.01304109,318.58698,.058382802,Inc,Inc,Dec,Inc
GOV3,2,32,.53281248,235,.19148937,199.3671,.028571429,449.3671,.33803096,198.91304,.01304109,318.58698,.058382802,Dec,Dec,Dec,Sta
GOV30,2,,,,,32.911392,.22185451,312.21518,.30395705,166.19565,0,140.76086,1.005251,Dec,Inc,Dec,Inc
GOV31,1,64,.26015624,256.5,.25341129,55.696201,.40897977,29.620253,3.3220513,195.65218,.041173156,139.67392,.1947393,Dec,Inc,Inc,Dec
GOV31,2,64,.26015624,256.5,.25341129,55.696201,.40897977,29.620253,3.3220513,195.65218,.041173156,139.67392,.1947393,Inc,Dec,Dec,Inc
GOV32,1,119,.13071428,363,.20606062,1.7721518,0,344.43039,.029323779,1.0869565,18.9,46.52174,.4084112,Sta,Dec,Dec,Dec
GOV32,2,119,.13071428,363,.20606062,1.7721518,0,344.43039,.029323779,1.0869565,18.9,46.52174,.4084112,Dec,Inc,Inc,Dec
GOV33,1,42,.97540545,441.5,.19252548,110.75949,.085142858,36.772152,1.8057144,163.04347,.055052795,382.06522,.28450638,Dec,Inc,Dec,Inc
GOV33,2,42,.97540545,441.5,.19252548,110.75949,.085142858,36.772152,1.8057144,163.04347,.055052795,382.06522,.28450638,Inc,Dec,Dec,Inc
GOV34,1,57,.70596242,180.5,.59556788,101.74051,0,69.493675,.14102003,98.804352,.019251924,90.326088,.14945848,Dec,Dec,Dec,Inc
GOV34,2,57,.70596242,180.5,.59556788,101.74051,0,69.493675,.14102003,98.804352,.019251924,90.326088,.14945848,Inc,Sta,Sta,Sta
GOV35,1,32,1.0220834,170.5,.38123167,76.772156,.15824462,218.60759,.46887669,162.71739,.093445107,382.06522,.44809106,Inc,Inc,Dec,Inc
GOV35,2,32,1.0220834,170.5,.38123167,76.772156,.15824462,218.60759,.46887669,162.71739,.093445107,382.06522,.44809106,Inc,Sta,Dec,Inc
GOV37,1,38,.95868421,167,.41916168,146.07596,.070117921,399.05063,.30146551,300,0,220.92392,.06110701,Inc,Dec,Dec,Inc
GOV37,2,38,.95868421,167,.41916168,146.07596,.070117921,399.05063,.30146551,300,0,220.92392,.06110701,Dec,Dec,Dec,Inc
GOV38,1,30,1.4565197,298,.2852349,6.2025318,1.7624733,173.41772,1.0027809,231.1413,.021161534,256.84784,1.1045451,Dec,Inc,Inc,Dec
GOV38,2,30,1.4565197,298,.2852349,6.2025318,1.7624733,173.41772,1.0027809,231.1413,.021161534,256.84784,1.1045451,Inc,Inc,Dec,Inc
GOV39,1,84,.73637789,368.5,.23066486,3.7974684,3.2392585,104.62025,.15771325,6.521739,0,106.73913,.014052954,Dec,Dec,Inc,Dec
GOV39,2,84,.73637789,368.5,.23066486,3.7974684,3.2392585,104.62025,.15771325,6.521739,0,106.73913,.014052954,Sta,Dec,Dec,Inc
GOV4,1,65,.24292308,246.5,.087221101,104.55696,.065375306,45.696201,.969446,108.69566,0,460.32608,0,Dec,Inc,Dec,Inc
GOV4,2,65,.24292308,246.5,.087221101,104.55696,.065375306,45.696201,.969446,108.69566,0,460.32608,0,Inc,Dec,Dec,Sta
GOV40,1,35,.48657146,339.5,.14432989,82.974686,.29748282,361.83545,.22745146,95.652176,.25159088,260.86957,.28290001,Sta,Inc,Dec,Inc
GOV40,2,35,.48657146,339.5,.14432989,82.974686,.29748282,361.83545,.22745146,95.652176,.25159088,260.86957,.28290001,Dec,Inc,Dec,Inc
GOV41,1,24,.89957571,244,.18442623,64.050629,.49224225,139.87341,1.1982263,130.43478,.016666666,351.63043,.02303555,Dec,Inc,Dec,Inc
GOV41,2,24,.89957571,244,.18442623,64.050629,.49224225,139.87341,1.1982263,130.43478,.016666666,351.63043,.02303555,Inc,Dec,Dec,Inc
GOV42,1,55,.1209091,439,.13211845,149.3671,.51174968,1901.2659,.27465913,122.6087,.0022163121,313.8587,.62002426,Inc,Inc,Inc,Inc
GOV42,2,55,.1209091,439,.13211845,149.3671,.51174968,1901.2659,.27465913,122.6087,.0022163121,313.8587,.62002426,Dec,Inc,Dec,Dec
GOV43,2,,,,,274.55695,.064426698,577.7215,.43810037,199.8913,0,591.84784,.73431039,Sta,Inc,Dec,Dec
GOV44,1,65,.24550009,181,.41988954,326.39243,.15486225,792.97467,.54264027,38.315216,.056737591,168.04349,.13210866,Inc,Inc,Dec,Inc
GOV44,2,65,.24550009,181,.41988954,326.39243,.15486225,792.97467,.54264027,38.315216,.056737591,168.04349,.13210866,Dec,Dec,Dec,Dec
GOV45,1,32,.7215625,361.5,.19363762,108.10126,.0052377512,270.25317,.83144259,107.6087,.17897421,273.26086,.70628476,Dec,Inc,Dec,Inc
GOV45,2,32,.7215625,361.5,.19363762,108.10126,.0052377512,270.25317,.83144259,107.6087,.17897421,273.26086,.70628476,Sta,Dec,Inc,Sta
GOV46,1,48.5,.94175065,321.5,.2488336,60.759495,.21558207,90.506332,.34914684,130.43478,.15743616,469.29349,.11570586,Dec,Inc,Dec,Inc
GOV46,2,48.5,.94175065,321.5,.2488336,60.759495,.21558207,90.506332,.34914684,130.43478,.15743616,469.29349,.11570586,Inc,Dec,Dec,Inc
GOV48,1,62,.23064516,150.5,.41196015,274.81012,0,626.58228,.38893536,12.826087,4.3220339,713.36957,.731318,Inc,Sta,Dec,Inc
GOV48,2,62,.23064516,150.5,.41196015,274.81012,0,626.58228,.38893536,12.826087,4.3220339,713.36957,.731318,Inc,Inc,Sta,Dec
GOV49,2,,,,,174.68355,.24186234,493.92407,.44844949,103.69566,.048430324,217.5,.57517242,Dec,Inc,Dec,Dec
GOV50,1,44.5,.74726653,337.5,.17777778,82.025322,.32893693,42.721519,2.2377481,104.34782,.084516697,200.59782,.32452995,Dec,Inc,Dec,Inc
GOV50,2,44.5,.74726653,337.5,.17777778,82.025322,.32893693,42.721519,2.2377481,104.34782,.084516697,200.59782,.32452995,Inc,Dec,Dec,Inc
GOV51,1,102,.12481862,135.5,.2804428,54.303799,.032400932,597.34174,.56148762,250.3261,0,722.28259,.30486682,Inc,Inc,Dec,Dec
GOV51,2,102,.12481862,135.5,.2804428,54.303799,.032400932,597.34174,.56148762,250.3261,0,722.28259,.30486682,Inc,Dec,Dec,Inc
GOV52,1,24,1.2727752,498,.14056225,59.493671,.61738926,512.15192,.25968859,273.58694,0,500.1087,.16836339,Sta,Inc,Dec,Inc
GOV52,2,24,1.2727752,498,.14056225,59.493671,.61738926,512.15192,.25968859,273.58694,0,500.1087,.16836339,Sta,Dec,Dec,Inc
GOV6,1,54,.078306243,118.5,.35443038,58.227848,.1967952,383.79749,.70896769,34.510868,.46444726,347.98914,.07155396,Inc,Inc,Inc,Sta
GOV6,2,54,.078306243,118.5,.35443038,58.227848,.1967952,383.79749,.70896769,34.510868,.46444726,347.98914,.07155396,Sta,Dec,Inc,Dec
GOV7,1,175,.12080364,284.5,.14762741,5.0632911,1.8139014,389.93671,.2323454,34.239132,.095238097,66.41304,.61283147,Inc,Inc,Inc,Dec
GOV7,2,175,.12080364,284.5,.14762741,5.0632911,1.8139014,389.93671,.2323454,34.239132,.095238097,66.41304,.61283147,Dec,Inc,Dec,Inc
GOV8,2,,,,,86.329109,.51159936,327.40506,.96669245,82.565216,.18002898,410.86957,1.113492,Inc,Inc,Dec,Sta
KAR1,2,,,,,22.215189,1.3063071,375.25317,.45542586,141.03261,2.0290434,275.81522,3.4414346,Dec,Inc,Inc,Inc
KAR10,1,43,.6929819,126,.67460322,73.037979,.64482141,247.34177,.55469805,120.41304,.84284121,322.3913,.93861097,Inc,Dec,Sta,Inc
KAR10,2,43,.6929819,126,.67460322,73.037979,.64482141,247.34177,.55469805,120.41304,.84284121,322.3913,.93861097,Inc,Inc,Inc,Inc
